"ID";"AUTHORS";"AVGRATING";"CATEGORIES";"DATEOFADDITION";"DATEOFPUBLICATION";"DESCRIPTION";"NOTE";"IMAGEURL";"INDUSTRIALIDENTIFIER";"LANGUAGE";"LOCATION";"PAGECOUNT";"PREVIEWLINK";"PRICE";"PRINTTYPE";"PUBLISHER";"SUBTITLE";"TITLE";"VOTES"
"30010";"Andreas Spillner; Tilo Linz";"0.0";"Test";"18.09.2013";"01.01.2005";;"privates Exemplar";;"9783898643580";"de";"TAB 2.57";"276";"http://books.google.de/books?id=EM4zAAAACAAJ&dq=isbn:9783898643580&hl=&cd=1&source=gbs_api";;"BOOK";"dpunkt";;"Basiswissen Softwaretest";"0"
"30011";"Heide Faeskorn-Woyke; Birgit Bertelsmeier; Petra Riemer; Elena Bauer";"0.0";"Datenbanken";"18.09.2013";"01.06.2007";;"privates Exemplar";"http://bks7.books.google.de/books?id=MY7oGQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9783827372666";"de";"TAB 2.57";"512";"http://books.google.de/books?id=MY7oGQAACAAJ&dq=isbn:9783827372666&hl=&cd=1&source=gbs_api";;"BOOK";;;"Datenbanksysteme";"0"
"30012";"Ramez A. Elmasri; Shamkant B. Navathe";"0.0";"Datenbanken";"18.09.2013";"01.01.2009";;"privates Exemplar";"http://bks6.books.google.de/books?id=REgdRECfcRIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"9783868940121";"de";"TAB 2.57";"550";"http://books.google.de/books?id=REgdRECfcRIC&printsec=frontcover&dq=isbn:9783868940121&hl=&cd=1&source=gbs_api";;"BOOK";"Pearson Deutschland GmbH";;"Grundlagen von Datenbanksystemen";"0"
"30013";"Philippe Kruchten";"0.0";"Prozess";"18.09.2013";"01.01.2004";;"privates Exemplar";;"9780321179906";"en";"TAB 2.57";"0";;;"BOOK";"Addison-Wesley";"3rd edition";"The Rational Unified Process: An Introduction";"0"
"30014";"Jeannine M. Siviy; M. Lynn Penn; Robert W. Stoddard";"0.0";"Prozess";"18.09.2013";"01.01.2008";"'In this book, I have found answers to key questions and misconceptions about the relationship between Six Sigma and the Capability Maturity Model Integration [CMMI]....Among my key takeaways is that the relationship between Six Sigma and CMMI exemplifies one of the principles of S4/IEE: CMMI provides process infrastructure that is needed to support a successful Six Sigma strategy.' —Forrest W. Breyfogle III, CEO, Smarter Solutions, Inc. 'Finally, a book that bridges the software and hardware process tool set. To date, there have been hardware and software engineers who for one reason or another have not communicated their process methods. And so, myths formed that convinced the hardware community that CMMI was only for software and likewise convinced the software community that Six Sigma was only for hardware. It is both refreshing and thought provoking to dispel these myths.' —Jack Ferguson, Manager, SEI Appraisal Program, Software Engineering Institute CMMI and Six Sigma represent two of the best-known process improvement initiatives. Both are designed to enhance work quality and thereby produce business advantages for an organization. It's a misconception that the two are in competition and cannot be implemented simultaneously. Practitioners originally trained in either CMMI or Six Sigma are now finding that the two initiatives work remarkably well together in the pursuit of their common goal. CMMI® and Six Sigma: Partners in Process Improvement focuses on the synergistic, rather than competitive, implementation of CMMI and Six Sigma—with synergy translating to 'faster, better, cheaper' achievement of mission success. Topics range from formation of the value proposition to specific implementation tactics. The authors illustrate how not taking advantage of what both initiatives have to offer puts an organization at risk of sinking time, energy, and money into 'inventing' a solution that already exists. Along the way they debunk a few myths about Six Sigma applications in software. While the authors concentrate on the interoperability of Six Sigma and CMMI, they also recognize that organizations rarely implement only these two initiatives. Accordingly, the discussion turns to the emerging realm of 'multimodel' process improvement and strategies and tactics that transcend models to help organizations effectively knit together a single unified internal process standard. Whether you work in the defense industry, for a commercial organization, or for a government agency—wherever quality and efficiency matter—you'll find this book to be a valuable resource for bridging process issues across domains and building an improvement strategy that succeeds.";"privates Exemplar";"http://bks5.books.google.de/books?id=9iL6mAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9780321516084";"en";"TAB 2.57";"324";"http://books.google.de/books?id=9iL6mAEACAAJ&dq=isbn:9780321516084&hl=&cd=1&source=gbs_api";;"BOOK";"Addison-Wesley Professional";;"CMMI and Six Sigma";"0"
"30015";"Ralf Kneuper";"0.0";"Prozess";"18.09.2013";"01.01.2006";;"privates Exemplar";"http://bks6.books.google.de/books?id=lAQ-AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9783898643733";"de";"TAB 2.57";"271";"http://books.google.de/books?id=lAQ-AAAACAAJ&dq=isbn:9783898643733&hl=&cd=1&source=gbs_api";;"BOOK";"dpunkt";"2te Auflage";"CMMI";"0"
"30016";"Kent Beck";"0.0";"Prozess";"18.09.2013";"01.01.2000";"Beck wants to encourage readers to re-examine their preconceptions of how software development ought to occur. He does just that in this overview of Extreme Programming, a controversial approach to software development which challenges the notion that the cost of changing a piece of software must rise dramatically over the course of time.";"privates Exemplar";"http://bks8.books.google.de/books?id=G8EL4H4vf7UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"9780201616415";"en";"TAB 2.57";"190";"http://books.google.de/books?id=G8EL4H4vf7UC&printsec=frontcover&dq=isbn:9780201616415&hl=&cd=1&source=gbs_api";;"BOOK";"Addison-Wesley Professional";;"Extreme Programming Explained";"0"
"30017";"John Barnes";"0.0";"Prozess";"18.09.2013";"01.01.2006";"Ada has carved itself a niche in the safety-critical/embedded/real-time areas. It is the language of choiceáin application areas where reliability, long term maintainability and similar features are very important. Typical of such areas are defence embedded systems, railway signalling, air traffic control and so on. Note especially that SPARK which is very successful for critical systems is based on Ada. No other language really has a suitable underlying structure.This latest edition of the highly successful 'Programming in Ada' has been fully updated to the latest version of the language: Ada 2005.";"Uni-Bibliothek";"http://bks2.books.google.de/books?id=Hlk_AQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9780321340788";"en";"TAB 2.57";"828";"http://books.google.de/books?id=Hlk_AQAAIAAJ&dq=isbn:9780321340788&hl=&cd=1&source=gbs_api";;"BOOK";"Addison-Wesley";;"Programming in Ada 2005";"0"
"30018";"Giuseppe Di Battista";"0.0";"Prozess";"18.09.2013";"01.01.1999";"This book is designed to describe fundamental algorithmic techniques for constructing drawings of graphs. Suitable as a book or reference manual, its chapters offer an accurate, accessible reflection of the rapidly expanding field of graph drawing.";"Uni-Bibliothek";"http://bks4.books.google.de/books?id=Dt4eAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9780133016154";"en";"TAB 2.57";"397";"http://books.google.de/books?id=Dt4eAQAAIAAJ&dq=isbn:9780133016154&hl=&cd=1&source=gbs_api";;"BOOK";"Egully.com";;"Graph drawing";"0"
"30019";"John Barnes";"0.0";"Prozess";"18.09.2013";"01.01.2006";"Ada has carved itself a niche in the safety-critical/embedded/real-time areas. It is the language of choiceáin application areas where reliability, long term maintainability and similar features are very important. Typical of such areas are defence embedded systems, railway signalling, air traffic control and so on. Note especially that SPARK which is very successful for critical systems is based on Ada. No other language really has a suitable underlying structure.This latest edition of the highly successful 'Programming in Ada' has been fully updated to the latest version of the language: Ada 2005.";"privates Exemplar";"http://bks2.books.google.de/books?id=Hlk_AQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9780321340788";"en";"TAB 2.57";"828";"http://books.google.de/books?id=Hlk_AQAAIAAJ&dq=isbn:9780321340788&hl=&cd=1&source=gbs_api";;"BOOK";"Addison-Wesley";;"Programming in Ada 2005";"0"
"30020";"Markus Dahm";"0.0";"Interaktion";"18.09.2013";"01.01.2006";;"privates Exemplar";;"9783827371751";"de";"TAB 2.57";"367";"http://books.google.de/books?id=-H8-AQAACAAJ&dq=isbn:9783827371751&hl=&cd=1&source=gbs_api";;"BOOK";;;"Grundlagen der Mensch-Computer-Interaktion";"0"
"30021";"Václav Rajlich";"0.0";"Software-Engineering";"18.09.2013";"01.01.2012";"Software Engineering: The Current Practice teaches students basic software engineering skills and helps practitioners refresh their knowledge and explore recent developments in the field, including software changes and iterative processes of software development. After a historical overview and an introduction to software technology and models, the book discusses the software change and its phases, including concept location, impact analysis, refactoring, actualization, and verification. It then covers the most common iterative processes: agile, directed, and centralized processes. The text also journeys through the software life span from the initial development of software from scratch to the final stages that lead toward software closedown. For Professionals The book gives programmers and software managers a unified view of the contemporary practice of software engineering. It shows how various developments fit together and fit into the contemporary software engineering mosaic. The knowledge gained from the book allows practitioners to evaluate and improve the software engineering processes in their projects. For Instructors Instructors have several options for using this classroom-tested material. Designed to be run in conjunction with the lectures, ideas for student projects include open source programs that use Java or C++ and range in size from 50 to 500 thousand lines of code. These projects emphasize the role of developers in a classroom-tailored version of the directed iterative process (DIP). For Students Students gain a real understanding of software engineering processes through the lectures and projects. They acquire hands-on experience with software of the size and quality comparable to that of industrial software. As is the case in the industry, students work in teams but have individual assignments and accountability.";"privates Exemplar";"http://bks7.books.google.de/books?id=aK70_4xevYsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"9781439841228";"en";"TAB 2.57";"291";"http://books.google.de/books?id=aK70_4xevYsC&printsec=frontcover&dq=isbn:9781439841228&hl=&cd=1&source=gbs_api";;"BOOK";"CRC Press";"The Current Practice";"Software Engineering";"0"
"30022";"Albert Endres; Hans Dieter Rombach";"0.0";"Software-Engineering";"18.09.2013";"01.01.2003";"Annotation This handbook presents the laws that significantly impact software engineering. This book begins with requirements definitions and concludes with maintenance and withdrawl. Along the way, it identifies and discusses existing laws that significantly impact software engineering. Software engineers who wish to reacquaint (or ecquaint) themselves with the basic laws of software engineering and their applicability in an industrial setting.";"privates Exemplar";"http://bks2.books.google.de/books?id=QrsBoLfyD1IC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"9780321154200";"en";"TAB 2.57";"327";"http://books.google.de/books?id=QrsBoLfyD1IC&printsec=frontcover&dq=isbn:9780321154200&hl=&cd=1&source=gbs_api";;"BOOK";"Pearson Education";;"A Handbook of Software and Systems Engineering";"0"
"30023";"Paul Clements";"0.0";"Software-Architektur";"18.09.2013";"01.01.2003";"The definitive practitioner's guide to capturing and documenting software architecture. -- Documenting architecture so designers and implementers can use it as a framework for effective development. -- Shows how to document the key information associated with each architectural view -- and package that information in coherent, usable form. -- Works with any language, notation system, or view-based model of software architecture. Architecture is crucial to the success of any large software system -- but even a superb architecture will fail if it isn't communicated well. Now, there's a language- and notation-independent guide to capturing architecture so it can be used successfully by every analyst, software designer, and developer. The authors review the diverse goals and uses of software architecture documentation, providing documentation strategies for several common scenarios. They identify the basic unit of software architecture documentation: the viewtype, which specifies the type of information to be provided in an architectural view. For each viewtype -- Modules, Component-and-Connectors, and Allocation -- they offer detailed guidance on documenting what really matters. Next, they demonstrate how to package architecture documentation in coherent, usable form: augmenting architectural views with documentation of interfaces and behavior; accounting for architectural variability and dynamic systems; and more.";"privates Exemplar";"http://bks3.books.google.de/books?id=ASc9HYPkr4sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"9780201703726";"en";"TAB 2.57";"512";"http://books.google.de/books?id=ASc9HYPkr4sC&printsec=frontcover&dq=isbn:9780201703726&hl=&cd=1&source=gbs_api";;"BOOK";"Addison-Wesley Professional";;"Documenting Software Architectures";"0"
"30024";"Frank Buschmann";"0.0";"Software-Architektur";"18.09.2013";"08.10.1996";"Pattern - Oriented Software Architecture A System of Patterns Frank Buschmann, Regine Meunier, Hans Rohnert, Peter Sommerlad, Michael Stal of Siemens AG, Germany Pattern-oriented software architecture is a new approach to software development. This book represents the progression and evolution of the pattern approach into a system of patterns capable of describing and documenting large-scale applications. A pattern system provides, on one level, a pool of proven solutions to many recurring design problems. On another it shows how to combine individual patterns into heterogeneous structures and as such it can be used to facilitate a constructive development of software systems. Uniquely, the patterns that are presented in this book span several levels of abstraction, from high-level architectural patterns and medium-level design patterns to low-level idioms. The intention of, and motivation for, this book is to support both novices and experts in software development. Novices will gain from the experience inherent in pattern descriptions and experts will hopefully make use of, add to, extend and modify patterns to tailor them to their own needs. None of the pattern descriptions are cast in stone and, just as they are borne from experience, it is expected that further use will feed in and refine individual patterns and produce an evolving system of patterns. Visit our Web Page http://www.wiley.com/compbooks/";"privates Exemplar";"http://bks2.books.google.de/books?id=gJjgAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9780471958697";"en";"TAB 2.57";"457";"http://books.google.de/books?id=gJjgAAAAMAAJ&dq=isbn:9780471958697&hl=&cd=1&source=gbs_api";;"BOOK";"John Wiley & Sons";"Volume 1: A System of Patterns";"Pattern-oriented software architecture";"0"
"30025";"Frank Buschmann";"0.0";"Software-Architektur";"18.09.2013";"01.02.2011";"Pattern - Oriented Software Architecture A System of Patterns Frank Buschmann, Regine Meunier, Hans Rohnert, Peter Sommerlad, Michael Stal of Siemens AG, Germany Pattern-oriented software architecture is a new approach to software development. This book represents the progression and evolution of the pattern approach into a system of patterns capable of describing and documenting large-scale applications. A pattern system provides, on one level, a pool of proven solutions to many recurring design problems. On another it shows how to combine individual patterns into heterogeneous structures and as such it can be used to facilitate a constructive development of software systems. Uniquely, the patterns that are presented in this book span several levels of abstraction, from high-level architectural patterns and medium-level design patterns to low-level idioms. The intention of, and motivation for, this book is to support both novices and experts in software development. Novices will gain from the experience inherent in pattern descriptions and experts will hopefully make use of, add to, extend and modify patterns to tailor them to their own needs. None of the pattern descriptions are cast in stone and, just as they are borne from experience, it is expected that further use will feed in and refine individual patterns and produce an evolving system of patterns. Visit our Web Page http://www.wiley.com/compbooks/";"privates Exemplar";;"9780471606956";"en";"TAB 2.57";"633";;;"BOOK";"John Wiley & Sons";"Volume 2: Patterns for Concurrent and Networked Objects";"Pattern-oriented software architecture";"0"
"30026";"Thilo Mende";"0.0";"Software-Qualität";"18.09.2013";"01.01.2012";;"privates Exemplar";;"9783869915005";"en";"TAB 2.57";"200";"http://books.google.de/books?id=pB6ZtwAACAAJ&dq=isbn:9783869915005&hl=&cd=1&source=gbs_api";;"BOOK";"MV Wissenschaft";"Dissertation";"On the Evaluation of Defect Prediction Models";"0"
"30027";"Thilo Mende";"0.0";"Software-Qualität";"18.09.2013";"01.01.2012";;"privates Exemplar";;"9783869915005";"en";"TAB 2.57";"200";"http://books.google.de/books?id=pB6ZtwAACAAJ&dq=isbn:9783869915005&hl=&cd=1&source=gbs_api";;"BOOK";"MV Wissenschaft";"Dissertation";"On the Evaluation of Defect Prediction Models";"0"
"30028";"Norman E. Fenton; Shari Lawrence Pfleeger";"0.0";"Metriken";"18.09.2013";"01.01.1997";"The Second Edition of SOFTWARE METRICS provides an up-to-date, coherent, and rigorous framework for controlling, managing, and predicting software development processes.";"privates Exemplar";"http://bks0.books.google.de/books?id=-HsZAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9781850322757";"en";"TAB 2.57";"638";"http://books.google.de/books?id=-HsZAQAAIAAJ&dq=isbn:9781850322757&hl=&cd=1&source=gbs_api";;"BOOK";"Thomson Computer Press";"A Rigorous and Practical Approach";"Software metrics";"0"
"30029";"Robert K. Yin";"0.0";"Empirie";"18.09.2013";"01.01.2003";"This new edition of the best-selling Case Study Research has been carefully revised, updated, and expanded while retaining virtually all of the features and coverage of the Second Edition. Robert Yin's comprehensive presentation covers all aspects of the case study method--from problem definition, design, and data collection, to data analysis and composition and reporting. Yin also traces the uses and importance of case studies to a wide range of disciplines, from sociology, psychology and history to management, planning, social work, and education.";"Uni-Bibliothek";"http://bks0.books.google.de/books?id=45ADMg9AA7YC&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9780761925538";"en";"TAB 2.57";"181";"http://books.google.de/books?id=45ADMg9AA7YC&dq=isbn:9780761925538&hl=&cd=1&source=gbs_api";;"BOOK";"SAGE";;"Case Study Research";"0"
"30030";"Joachim Goll";"0.0";"Software-Architektur";"18.09.2013";"20.04.2011";"Software ist ein unverzichtbarer Anteil zahlreicher heutiger Systeme. Ihre Erstellung beinhaltet im Idealfall einen standardisierten, methodischen Entwicklungsprozess, der für alle am Projekt Beteiligten verständlich ist und quasi die Sprache des Projekts darstellt. Das Hauptziel dieses Buches ist die methodische, stabile und standardisierte Konstruktion von Software-Systemen. Behandelt werden hier insbesondere die einzelnen Schritte der Entwicklung, nämlich das Erstellen von Requirements, funktionsorientierte, datenorientierte und objektorientierte Konzepte für die Systemanalyse und den Systementwurf, sowie das Testen von Systemen. Entwurfs- und Architekturmuster sowie aspektorientierte Ansätze runden das Spektrum dieses Buches ab.";"privates Exemplar";"http://bks9.books.google.de/books?id=HzV52b-UtfsC&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9783834815781";"de";"TAB 2.57";"995";"http://books.google.de/books?id=HzV52b-UtfsC&dq=isbn:9783834815781&hl=&cd=1&source=gbs_api";;"BOOK";"Vieweg+teubner Verlag";;"Methoden und Architekturen der Softwaretechnik";"0"
"30031";"Christine Hoffmeister; Robert Nord; Dilip Soni";"0.0";"Software-Architektur";"18.09.2013";"01.01.2000";"'Applied Software Architecture' provides practical guidelines and techniques for producing quality software designs. It gives an overview of software architecture basics and a detailed guide to architecture design tasks, focusing on four fundamental views";"privates Exemplar";"http://bks8.books.google.de/books?id=3klAPCIB3hQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"9780201325713";"en";"TAB 2.57";"397";"http://books.google.de/books?id=3klAPCIB3hQC&printsec=frontcover&dq=isbn:9780201325713&hl=&cd=1&source=gbs_api";;"BOOK";"Addison-Wesley";;"Applied software architecture";"0"
"30032";"Ralph Johnson; Erich Gamma; John Vlissides; Richard Helm";"0.0";"Software-Architektur";"18.09.2013";"01.01.1995";"Capturing a wealth of experience about the design of object-oriented software, four top-notch designers present a catalog of simple and succinct solutions to commonly occurring design problems. Previously undocumented, these 23 patterns allow designers to create more flexible, elegant, and ultimately reusable designs without having to rediscover the design solutions themselves. The authors begin by describing what patterns are and how they can help you design object-oriented software. They then go on to systematically name, explain, evaluate, and catalog recurring designs in object-oriented systems. With Design Patterns as your guide, you will learn how these important patterns fit into the software development process, and how you can leverage them to solve your own design problems most efficiently. Each pattern describes the circumstances in which it is applicable, when it can be applied in view of other design constraints, and the consequences and trade-offs of using the pattern within a larger design. All patterns are compiled from real systems and are based on real-world examples. Each pattern also includes code that demonstrates how it may be implemented in object-oriented programming languages like C++ or Smalltalk. 0201633612B07092001";"privates Exemplar";"http://bks6.books.google.de/books?id=iyIvGGp2550C&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9780201633610";"en";"TAB 2.57";"395";"http://books.google.de/books?id=iyIvGGp2550C&dq=isbn:9780201633610&hl=&cd=1&source=gbs_api";;"BOOK";"Addison-Wesley";;"Design Patterns";"0"
"30033";"Klaus Pohl";"0.0";"Requirements-Engineering";"18.09.2013";"01.05.2008";;"privates Exemplar";;"9783898645508";"en";"TAB 2.57";"748";"http://books.google.de/books?id=R0FxMwEACAAJ&dq=isbn:9783898645508&hl=&cd=1&source=gbs_api";;"BOOK";;"2te Auflage";"Requirements Engineering";"0"
"30034";"Gerd Beneken; Ulrike Hammerschall";"0.0";"Requirements-Engineering";"18.09.2013";"01.04.2013";;"privates Exemplar";;"9783868941517";"de";"TAB 2.57";"448";"http://books.google.de/books?id=5lszlQEACAAJ&dq=isbn:9783868941517&hl=&cd=1&source=gbs_api";;"BOOK";;;"Software Requirements";"0"
"30035";"Harald Störrle";"0.0";"UML";"18.09.2013";"01.01.2005";;"privates Exemplar";"http://bks6.books.google.de/books?id=SXU-AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9783827371430";"de";"TAB 2.57";"220";"http://books.google.de/books?id=SXU-AAAACAAJ&dq=isbn:9783827371430&hl=&cd=1&source=gbs_api";;"BOOK";;;"UML 2 für Studenten";"0"
"30036";"Daniel Galin";"0.0";"Software-Qualität";"18.09.2013";"01.01.2004";"Software quality assurance (SQA) systems are vital for software developers in the software and the electronics industries as well as for information systems divisions in organizations. This book, based on many years of consulting and teaching experience, is designed to serve three audiences: students at universities and colleges, participants in vocational training courses in the industry and practitioners/professionals. Each chapter will conclude with commonly raised questions, problems, short case studies, and topics for discussion. The methodology to be presented in the book conforms with the requirements of ISO 9000 standards (ISO 9001 Quality Management and Quality Assurance Standard and of ISO 9000-3 Guidelines for the Application of ISO 9001 to the Development, Supply, Installation and Maintenance of Computer Software). The topics that will be covered will conform with the requirements of most vocational training programs (e.g.. the American Society for Quality's training program for Certified Software Quality Engineers). The book is designed to include in its appendices a collection of useful templates and checklists containing items of great interest to practitioners and students, and is accompanied with an Instructor s Guide containing lesson planning guidelines, guides for conducting discussions, OHPs and test material.";"privates Exemplar";"http://bks8.books.google.de/books?id=p5jDETUc2K8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"9780201709452";"en";"TAB 2.57";"590";"http://books.google.de/books?id=p5jDETUc2K8C&printsec=frontcover&dq=isbn:9780201709452&hl=&cd=1&source=gbs_api";;"BOOK";"Pearson Education";;"Software Quality Assurance";"0"
